configuration_number,vectorizer_param,model_param,f1
80,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6820502168922755
81,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.6522144506930331
82,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.6815844106127977
83,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.6519234362105921
84,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6816989948993991
85,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.6516004402780547
86,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.6816540276033476
87,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.6511512701275095
88,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.6816612251493621
89,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.6519333173649946
