configuration_number,vectorizer_param,model_param,f1
53,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7589996822822744
54,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7589782078354272
55,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7587659513166506
56,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7586965484194975
57,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7587799545665793
58,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7587989357375153
59,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7587989357375153
60,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7587989357375153
61,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7587799545665793
62,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7587989357375153
